ds,yhat,yhat_lower,yhat_upper
2004-10-01,14162.648789611685,12657.932001700885,15632.164466573613
2004-10-02,12950.546953644302,11394.239830702416,14458.537941248152
2004-10-03,12500.531092395793,11014.229681516877,14043.232731581402
2004-10-04,14095.65506406536,12568.356111887948,15578.573623659016
2004-10-05,14317.815977385237,12689.39259526988,15850.326228704254
2004-10-06,14243.21938588613,12652.081302111274,15772.588018680395
2004-10-07,14242.349943569781,12670.346073604322,15776.182020820597
2004-10-08,13971.312332606773,12404.242415295046,15464.424619425932
2004-10-09,12778.435032402054,11261.13295906129,14186.45609045753
2004-10-10,12351.51254439338,10887.061495998438,13984.832099846404
2004-10-11,13973.636904178711,12511.119451705319,15516.323272776273
2004-10-12,14226.595052304558,12682.668045878323,15735.802884888706
2004-10-13,14186.33271277816,12700.216495114719,15604.738684952514
2004-10-14,14222.928909805574,12689.13129932799,15796.09772638534
2004-10-15,13991.94588725924,12403.605332209003,15543.990293884626
2004-10-16,12841.046786471881,11350.898826264229,14268.564742803299
2004-10-17,12457.256320208693,10924.812709651838,13971.270178302655
2004-10-18,14122.81474558587,12660.725301560129,15566.9088927204
2004-10-19,14418.601041085567,12874.204599313132,16011.885139996102
2004-10-20,14419.625153033761,12833.336538662039,15833.216661739367
2004-10-21,14495.032563943045,12912.389920565858,15977.703698318124
2004-10-22,14299.48500168274,12733.828101472853,15851.222246349009
2004-10-23,13179.808660803923,11604.440722903893,14683.564622235257
2004-10-24,12822.284181578523,11218.90757278714,14315.42662318917
2004-10-25,14508.527720004051,13068.49613448491,15991.436393587857
2004-10-26,14818.93809819276,13258.550460344168,16319.897152668653
2004-10-27,14828.209067575755,13243.728085045861,16392.35236377004
2004-10-28,14905.349214503716,13408.883240677382,16457.827407321754
2004-10-29,14705.072738491088,13175.850421375895,16190.604824128088
2004-10-30,13574.452039874914,11977.85262337977,14999.230599367644
2004-10-31,13200.20609785582,11692.982544220198,14707.808455880899
2004-11-01,14864.573888077379,13196.509248481867,16497.20332079821
2004-11-02,15148.747930877993,13657.934687339095,16687.08397450203
2004-11-03,15128.367289609807,13503.832176218208,16558.60309017182
2004-11-04,15173.513015218434,13744.339545040608,16662.809439811364
2004-11-05,14940.06990141268,13400.998806929594,16513.701661824914
2004-11-06,13776.346272590494,12302.046273027376,15273.034171035762
2004-11-07,13370.326700157213,11881.978785564208,14938.512226452056
2004-11-08,15005.507914904752,13421.116716483595,16481.38876949963
2004-11-09,15264.294099536193,13776.389828574214,16782.30402939921
2004-11-10,15223.452016507114,13643.156142235344,16730.26285926416
2004-11-11,15254.070112338837,13714.490894801454,16715.331977083584
2004-11-12,15012.886582884797,13469.259449630275,16483.213323455588
2004-11-13,13848.879183086217,12173.473000510974,15317.716323601575
2004-11-14,13450.492647020088,11961.071994675503,14952.832462002363
2004-11-15,15101.454834577546,13578.374281234894,16703.844036795013
2004-11-16,15384.158489213352,13728.943353773762,16868.357147984767
2004-11-17,15375.10959094847,13907.35681581723,16928.74377115285
2004-11-18,15444.886785394534,13922.39091165884,16971.774690814476
2004-11-19,15249.477010802048,13730.255177943889,16727.186971102365
2004-11-20,14136.880035075183,12603.03789815836,15699.16433879958
